type,fieldname,label,hint,default,appearance,constraint,constraint message,relevance,disabled,required,read only,calculation,media:image,media:audio,media:video
start,starttime,,,,,,,,,,,,,,
end,endtime,,,,,,,,,,,,,,
deviceid,deviceid,,,,,,,,,,,,,,
subscriberid,subscriberid,,,,,,,,,,,,,,
simserial,simid,,,,,,,,,,,,,,
phonenumber,devicephonenum,,,,,,,,,,,,,,
note,intronote,Welcome to the -odkmeta- demo form. Swipe to move forward. ,,,,,,,,,,,,,
select_one yesno,getconsent,Do you consent to continue with this survey?,,,,,,,,yes,,,,,
begin group,consent,consent,The ID must be between 001 and 005. ,,,,,${getconsent}=1,,,,,,,
select_one preloadid,preloadid,Please select the household ID. ,,,,,,,,,,,,,
datetime ,datetime,Please record the date and time of this interview. ,,,,,,,,,,,,,
geopoint ,recordgps,Please record your current GPS location. ,,,,,,,,,,,,,
text,name,What is your name?,,,,,,,,,,,,,
note,thankname,"Thank you, ${name}, for agreeing to participate.",,,,,,,,,,,,,
note,intronotetable,Now I'd like to ask a few questions about you.,,,,,,,,,,,,,
integer ,hhmemberage,How old are you?,,,,,,,,,,,,,
select_one occupation or_other,hhmemberoccupation,What is your occupation?,,,,,,,,,,,,,
select_one fruit ,favfruit,What is your favorite kind of fruit from these options?,,,,,,,,,,,,,
select_one vegetable ,favveg,What is your favorite kind of vegetable from these options?,,,,,,,,,,,,,
note ,notespecialanswer ,Thanks for your answers! Now we have a few more questions about your farms. ,,,,,,,,,,,,,
select_one yesno,farmownership,"Do you own or have the right to farm any farm plots, even if you did not farm them this past season?",,,,,,,,,,,,,
select_one yesno,cultivatethisyear,Did you cultivate any of your farms this past season?,,,,,,${farmownership}=1,,,,,,,
integer ,farmnumberofplots,How many farm plots did you cultivate this past season? ,The number of farms must be between 0 and 3. It's a demo! ,,,. >=0 and . <= 3,,${cultivatethisyear}=1,,,,,,,
begin group,farm1group,farm1group,,,,,,${farmnumberofplots} >0,,,,,,,
text ,farm1name,What is the name of the first farm?,,,,,,,,,,,,,
integer ,farm1years,How many years have you farmed on ${farm1name}?,,,,,,,,,,,,,
select_multiple crop,farm1crops,What kind of crop(s) do you grow on ${farm1name}?,,,,,,,,,,,,,
text,farm1cropsother,What other kind of crop do you grow on ${farm1name}?,,,,,,"selected(${farm1crops}, '666')",,,,,,,
decimal ,farm1harvmaize,How many bags of maize did you harvest from ${farm1name} this past season?,,,,,,"selected(${farm1crops}, '1')",,,,,,,
decimal ,farm1harvwheat,How many bags of wheat did you harvest from ${farm1name} this past season?,,,,,,"selected(${farm1crops}, '2')",,,,,,,
decimal ,farm1harvrice,How many bags of rice did you harvest from ${farm1name} this past season?,,,,,,"selected(${farm1crops}, '3')",,,,,,,
decimal ,farm1harvother,How many bags of ${farm1cropsother} did you harvest from ${farm1name} this past season?,,,,,,"selected(${farm1crops}, '666')",,,,,,,
end group,farm1group,farm1group,,,,,,,,,,,,,
begin group,farm2group,farm2group,,,,,,${farmnumberofplots} >1,,,,,,,
text ,farm2name,What is the name of the second farm?,,,,,,,,,,,,,
integer ,farm2years,How many years have you farmed on ${farm2name}?,,,,,,,,,,,,,
select_multiple crop,farm2crops,What kind of crop(s) do you grow on ${farm2name}?,,,,,,,,,,,,,
text,farm2cropsother,What other kind of crop do you grow on ${farm2name}?,,,,,,"selected(${farm2crops}, '666')",,,,,,,
decimal ,farm2harvmaize,How many bags of maize did you harvest from ${farm2name} this past season?,,,,,,"selected(${farm2crops}, '1')",,,,,,,
decimal ,farm2harvwheat,How many bags of wheat did you harvest from ${farm2name} this past season?,,,,,,"selected(${farm2crops}, '2')",,,,,,,
decimal ,farm2harvrice,How many bags of rice did you harvest from ${farm2name} this past season?,,,,,,"selected(${farm2crops}, '3')",,,,,,,
decimal ,farm2harvother,How many bags of ${farm2cropsother} did you harvest from ${farm2name} this past season?,,,,,,"selected(${farm2crops}, '666')",,,,,,,
end group,farm2group,farm2group,,,,,,,,,,,,,
begin group,farm3group,farm3group,,,,,,${farmnumberofplots} >2,,,,,,,
text ,farm3name,What is the name of the third farm?,,,,,,,,,,,,,
integer ,farm3years,How many years have you farmed on ${farm3name}?,,,,,,,,,,,,,
select_multiple crop,farm3crops,What kind of crop(s) do you grow on ${farm3name}?,,,,,,,,,,,,,
text,farm3cropsother,What other kind of crop do you grow on ${farm3name}?,,,,,,"selected(${farm3crops}, '666')",,,,,,,
decimal ,farm3harvmaize,How many bags of maize did you harvest from ${farm3name} this past season?,,,,,,"selected(${farm3crops}, '1')",,,,,,,
decimal ,farm3harvwheat,How many bags of wheat did you harvest from ${farm3name} this past season?,,,,,,"selected(${farm3crops}, '2')",,,,,,,
decimal ,farm3harvrice,How many bags of rice did you harvest from ${farm3name} this past season?,,,,,,"selected(${farm3crops}, '3')",,,,,,,
decimal ,farm3harvother,How many bags of ${farm3cropsother} did you harvest from ${farm3name} this past season?,,,,,,"selected(${farm3crops}, '666')",,,,,,,
end group,farm3group,farm3group,,,,,,,,,,,,,
end group,consent,consent,,,,,,,,,,,,,
note ,endnote,We have reached the end of this survey. Thank you for your time. ,,,,,,,,,,,,,
